"","Age","Sex","Grade","race","schooltype","curious_trying_others","Smoked_cigarettes_on_1_or","Smoked_cigars_cigarillos","chewing_tobacco_snuff_or","Smoked_tobacco_pipe_not_h","Smoked_bidis_on_1_or_more","Smoked_tobacco_hookah_or","snus_such_as_Camel_or_Mar","dissolvable_tobacco_such","electronic_cigarettes_suc","curious_smoke_cig","housemoate_no_smoke","smoked","curious"
"207",3,"M",1,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"208",3,"M",1,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"209",4,"M",1,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"210",4,"F",1,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"211",4,"F",1,NA,"Middle",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"212",4,"M",1,"White","Middle",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"213",4,"F",1,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,3,1,FALSE,0
"214",4,"F",1,"Hispanic","Middle",3,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"215",3,"F",1,"AI/AN","Middle",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"216",3,"F",1,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"217",3,"F",1,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,3,NA,FALSE,0
"218",4,"M",1,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"219",3,"M",1,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"220",5,"F",6,"Hispanic","High",3,0,1,0,0,NA,0,NA,NA,0,4,1,TRUE,0
"221",4,"F",1,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,2,1,FALSE,1
"222",4,"M",1,"White","Middle",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"223",4,"F",1,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"224",1,"M",1,NA,"Middle",3,0,0,0,0,0,0,0,0,0,1,NA,FALSE,1
"225",4,"M",1,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"226",4,"M",1,"White","Middle",NA,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"227",4,"M",1,"White","Middle",3,0,0,0,0,0,0,0,0,0,NA,NA,FALSE,NA
"228",4,"F",1,"Hispanic","Middle",NA,0,0,0,0,0,0,0,0,0,NA,NA,FALSE,NA
"229",4,"M",1,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"230",3,"F",1,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"231",5,"M",1,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"232",5,"F",2,"White","Middle",3,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"233",5,"M",2,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"234",5,"M",2,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,2,1,FALSE,1
"235",4,"M",2,"Hispanic","Middle",3,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"236",5,"M",2,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"237",4,"F",2,"Hispanic","Middle",3,0,0,1,0,0,0,1,0,0,2,NA,TRUE,1
"238",5,"M",2,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"239",5,"M",2,"White","Middle",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"240",5,"F",2,"White","Middle",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"241",4,"M",2,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"242",4,"F",2,"White","Middle",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"243",5,"M",2,"Hispanic","Middle",NA,0,0,0,0,0,0,0,0,0,3,1,FALSE,0
"244",4,"F",2,"White","Middle",3,0,0,0,0,0,0,0,0,0,NA,NA,FALSE,NA
"245",5,"F",2,"White","Middle",4,0,0,0,0,0,0,0,0,0,NA,NA,FALSE,NA
"246",4,"M",2,"White","Middle",NA,0,0,0,0,0,0,0,0,0,NA,1,FALSE,NA
"247",5,"M",2,"White","Middle",4,0,0,1,0,0,0,0,0,0,3,1,TRUE,0
"248",5,"M",2,"Hispanic","Middle",3,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"249",5,"F",2,"White","Middle",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"250",4,"F",2,"White","Middle",4,0,0,0,0,0,0,0,0,0,3,NA,FALSE,0
"251",6,"M",2,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"252",4,"M",2,"Hispanic","Middle",NA,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"253",5,"F",2,"White","Middle",4,0,0,0,0,0,0,0,0,0,2,NA,FALSE,1
"254",5,"F",2,"White","Middle",3,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
